Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.8372	6’322.6767	0.2379	0.1922	58.7128	1.1071E-12	7.0890E-12
MSTRG.4106	167.2964	0.0701	0.1990	58.7097	1.1088E-12	7.0978E-12
MSTRG.24774	1’447.6789	-1.4179	0.4792	58.7035	1.1122E-12	7.1177E-12
MSTRG.15403	1’010.4575	0.1565	0.1144	58.6702	1.1306E-12	7.2334E-12
MSTRG.26921	7’651.6193	-0.6031	0.1250	58.6513	1.1411E-12	7.2988E-12
MSTRG.14704	181.0095	-0.5200	0.1836	58.6398	1.1476E-12	7.3384E-12
MSTRG.793	5’679.3228	-1.0765	0.2025	58.6317	1.1522E-12	7.3654E-12
MSTRG.21420	1’605.7198	0.2946	0.1345	58.6272	1.1547E-12	7.3799E-12
MSTRG.8096	2’389.9046	-0.0205	0.1000	58.6183	1.1598E-12	7.4104E-12
MSTRG.25304	60.0998	-2.3516	0.3887	58.6092	1.1650E-12	7.4417E-12
MSTRG.21468	264.2586	1.6702	0.2549	58.6019	1.1692E-12	7.4663E-12
MSTRG.14574	603.2545	-0.3421	0.2911	58.5906	1.1757E-12	7.5061E-12
MSTRG.3086	13’603.4772	-0.5467	0.0992	58.5455	1.2021E-12	7.6723E-12
ENSG00000091482.8	50.4858	1.9181	0.3592	58.5388	1.2060E-12	7.6955E-12
MSTRG.4362	2’468.8495	-1.2408	0.2375	58.5313	1.2105E-12	7.7219E-12
MSTRG.6112	2’650.3618	-0.7601	0.1561	58.5254	1.2140E-12	7.7421E-12
MSTRG.26704	651.1590	-1.5587	0.2429	58.5179	1.2185E-12	7.7688E-12
MSTRG.17346	10’539.8257	-0.6658	0.1108	58.5137	1.2210E-12	7.7829E-12
MSTRG.18771	2’390.6476	0.1139	0.1072	58.5086	1.2241E-12	7.8002E-12
MSTRG.27817	1’869.8015	-0.2267	0.0923	58.4827	1.2398E-12	7.8980E-12
MSTRG.1665	86.7036	0.4944	0.3466	58.4738	1.2452E-12	7.9308E-12
MSTRG.24237	6’839.1989	-0.6751	0.0976	58.4692	1.2480E-12	7.9466E-12
